title,genre,year,rating,director,cast,keywords
3 Idiots,Comedy|Drama,2009,8.4,Rajkumar Hirani,Aamir Khan|R Madhavan|Sharman Joshi,engineering|friendship|college|pressure
Sholay,Action|Adventure,1975,8.2,Ramesh Sippy,Amitabh Bachchan|Dharmendra|Hema Malini,dacoit|revenge|friendship|classic
Dilwale Dulhania Le Jayenge,Romance|Drama,1995,8.1,Aditya Chopra,Shah Rukh Khan|Kajol,love|travel|europe|tradition
Dangal,Biography|Drama,2016,8.4,Nitesh Tiwari,Aamir Khan|Fatima Sana Shaikh,wrestling|sports|father|daughters
Zindagi Na Milegi Dobara,Comedy|Drama,2011,8.2,Zoya Akhtar,Hrithik Roshan|Farhan Akhtar|Abhay Deol,travel|spain|friendship|life
Lagaan,Sports|Drama,2001,8.1,Ashutosh Gowariker,Aamir Khan|Gracy Singh,cricket|british|village|underdog
Queen,Comedy|Drama,2013,8.2,Vikas Bahl,Kangana Ranaut|Rajkummar Rao,travel|self-discovery|wedding|solo
Andhadhun,Thriller|Crime,2018,8.3,Sriram Raghavan,Ayushmann Khurrana|Tabu,piano|blind|murder|mystery
Gully Boy,Drama|Music,2019,7.9,Zoya Akhtar,Ranveer Singh|Alia Bhatt,rap|music|slum|dreams
Pathaan,Action|Thriller,2023,7.5,Siddharth Anand,Shah Rukh Khan|Deepika Padukone,spy|action|pakistan|thriller
Jawan,Action|Thriller,2023,7.6,Atlee,Shah Rukh Khan|Nayanthara,vigilante|social|action|mass
Kabir Singh,Romance|Drama,2019,7.0,Sandeep Reddy Vanga,Shahid Kapoor|Kiara Advani,love|anger|medical|toxic
Tumbbad,Horror|Fantasy,2018,8.2,Rahi Anil Barve,Haroon Khedekar,greed|mythology|horror|wealth
Drishyam,Thriller|Crime,2015,8.2,Nishikant Kamat,Ajay Devgn|Tabu,police|coverup|family|intelligence
Stree,Horror|Comedy,2018,7.6,Amar Kaushik,Rajkummar Rao|Shraddha Kapoor,ghost|village|comedy|supernatural